Serial,file,document_type,title,theme,year,link,Summary
631,631_document.pdf,Report,WBCSD Forest Solutions Group: List of Key Performance Indicators,Forestry,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/631_document.pdf,"WBCSD Forest Solutions Group outlines key performance indicators across bioeconomy, circularity, climate, water, community, procurement, and people, tracking metrics such as R&D investment, recycled fiber share, forest certification, CO2 emissions, renewable energy use, water withdrawal, community investment, supplier conduct, and inclusion targets, aiming to advance sustainable forest sector practices worldwide."
634,634_document.pdf,Summary,FSGâ€™S CONTRIBUTION TO 9 SUSTAINABLE DEVELOPMENT GOALS,Sustainable Production,2019,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/634_document.pdf,Forest Solutions Group reports 97% of directly managed forests are
636,636_document.pdf,Report,2025 Key Performance Indicator Results  ,Forestry,2025,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/636_document.pdf,"Forest Solutions Group reports 2025 KPI results based on 2024 data, showing 90% of hectares certified, 28% land set aside for conservation, 67% process residuals reused, 88% members set CO2 reduction targets, 26.5 mÂ³ water withdrawn per ton with 89% returned, 831 million trees planted, and 10 million USD invested in community initiatives."
637,637_document.pdf,Presentation,From principles to transparency in disclosure Towards a benchmark for the forest products value chain,Forestry,2014,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/637_document.pdf,"The Forest Solutions Group outlines principles, performance indicators, and sustainability commitments across the forest products value chain, emphasizing resource efficiency, renewable energy, waste reduction, water stewardship, social impact, and health safety. It highlights certification rates, renewable energy usage, waste reuse, water quality metrics, stakeholder engagement, and safety statistics for 2014."
638,638_document.pdf,Infographic,KEY PERFORMANCE INDICATORS,Forestry,2016,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/638_document.pdf,"Forest Solutions Group annually reports key performance indicators, including land area, wood volume, resource efficiency, renewable energy use, carbon emissions, water stewardship, health and safety metrics, and social impact such as employee numbers and human rights compliance, to demonstrate progress toward sustainability principles and responsibilities and accountability across all operations."
639,639_document.pdf,Membership Principles & Responsibilities Document,MEMBERSHIP Principles & Responsibilities,Forestry,2016,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/639_document.pdf,"Forest Solutions Group members commit to forest management, water stewardship, climate action, resource efficiency, and social impact. They report annually using thirdâ€‘party verification, adhere to laws, and promote renewable energy, biodiversity monitoring, and responsible sourcing. The group emphasizes transparency, human rights, Indigenous respect, and safety across the global value chain."
640,640_document.pdf,Presentation,Recommendations on Biomass Carbon Neutrality Key messages & Summary presentation,Forestry,2015,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/640_document.pdf,"The document outlines forest and wood carbon neutrality, defining it as net CO2 emissions offset by forest growth, and emphasizes sustainable forest management, stable or increasing carbon stocks, and market demand for forest products as key to achieving neutrality, while highlighting benefits such as carbon storage, emissions, and forest expansion."
641,641_document.pdf,Brief,Recommendations on Biomass Carbon Neutrality,Forestry,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/641_document.pdf,"Forest Solutions Group defines biomass carbon neutrality as emissions fully offset by forest growth, emphasizing stable or increasing carbon stocks. The brief outlines policy recommendations, technical background, and baseline considerations, stressing that sustainable forest management ensures zero net COâ‚‚. It discusses substitution benefits, data uncertainties, and cautions against businessâ€‘asâ€‘usual baselines."
642,642_document.pdf,Brochure,From Principles to Transparency in Disclosure: Towards a Benchmark for the Forest Products Value Chain,Forestry,2015,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/642_document.pdf,"The Forest Solutions Group reports 2014 sustainability performance, covering forest management, certification, carbon emissions, renewable energy use, waste reduction, water stewardship, stakeholder engagement, and health and safety metrics across 13 members, aiming to triple demand by 2050 while promoting responsible forest products through KPIs, transparent reporting, and continuous improvement efforts"
643,643_document.pdf,Infographic,WBCSD Forest Solutions Group: List of 2025 Key Performance Indicators,Forestry,2025,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/643_document.pdf,"WBCSD Forest Solutions Group KPIs highlight progress toward a circular bioeconomy, including high certification of managed forests, investments in innovation, renewable energy use, and community support. Results show strong performance in sustainable sourcing, water management, waste reuse, and climate targets, while emphasizing continued efforts in diversity, conservation, and responsible forest-based industry practices."
644,644_document.pdf,Infographic,Shared sustainability indicators for the forest sector,Forestry,2022,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/644_document.pdf,"WBCSD Forest Solutions Group indicators show strong progress toward sustainable forest sector goals, including high certification rates, renewable energy use, and responsible sourcing. Investments support communities and innovation, while water management and waste reuse remain priorities. Results highlight commitments to climate targets, diversity, and circular bioeconomy development through measurable, shared performance indicators."
645,645_document.pdf,Infographic,List of 2023 Key Performance Indicators,Forestry,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/645_document.pdf,"Forest Solutions Group reports 2023 key performance indicators, highlighting 92% supplier code"
646,646_document.pdf,Report,WBCSDâ€™s Forest Solutions Groupâ€™s support for the United Nations Decade on Ecosystem Restoration - June 2021,Forestry,2021,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/646_document.pdf,"Forest Solutions Group members manage over 10 million hectares, invest in restoration, certification, and community engagement, planting 250 million trees in 2020. They support lowâ€‘carbon circular bioeconomy, protect biodiversity, mitigate fire, and collaborate across landscapes, contributing to global ecosystem recovery aligned with UN Decade goals for future generations and sustainable development efforts."
647,647_document.pdf,Documentation,Field to Market Sustainability Metrics Overview Documentation,Food & Agriculture,2022,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/647_document.pdf,"Field to Marketâ€™s Fieldprint Platform evaluates eight sustainability metricsâ€”biodiversity, energy use, greenhouse gas emissions, irrigation water use, land use, soil carbon, soil conservation, and water qualityâ€”using farm field data and environmental inputs"
648,648_document.pdf,Report,2023 Sustainability Data and Disclosures Report,Sustainable Production,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/648_document.pdf,"Griffith Foods releases its 2023 Sustainability Data and Disclosures Report, outlining goals toward 2030, including netâ€‘zero emissions, renewable energy, regenerative sourcing, and nutrition standards. The report details progress on climate action, waste diversion, renewable electricity, workforce metrics, supplier certifications, and governance structures, while highlighting community impact, compliance, and stakeholder engagement."
649,649_document.pdf,Report,Technical content by ncasi FACTS & TRENDS Fresh & Recycled Fiber Complementarity,Circular Economy,2020,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/649_document.pdf,"Report examines fresh and recycled fiber complementarity, detailing supply, demand, ecoâ€‘efficiency, environmental tradeâ€‘offs, lifeâ€‘cycle assessment, recovered fiber quality, design for recycle, societal aspects, certification, sustainable product selection, global recycling trends, flows, continental outlooks, and references, emphasizing integrated woodâ€‘fiber system, cascading value, and need for choices to maximize forest resource benefits."
650,650_document.pdf,Presentation,Facts & Trends Fresh & Recycled Fiber Complementarity,Circular Economy,2015,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/650_document.pdf,"Fresh and recycled wood fibers together form a supply chain, with fresh fiber harvested and recycled fiber recovered from used products. The publication explains their complementary roles, environmental tradeâ€‘offs, and cascading use, highlighting that recycling reduces waste and emissions but depends on fiber quality. It projects trends and urges collaboration."
651,651_document.pdf,Matrix,Recruitment Service Charge and Fees Responsibility Matrix,Labour,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/651_document.pdf,"Recruitment Service Charge and Fees Responsibility Matrix outlines cost responsibilities for employers, recruiters, and candidates across 21 categories, including recruitment, administrative, advertising, travel, visa, insurance, and communication expenses. It emphasizes transparency, negotiation, and open communication to fairly allocate costs, acknowledging that responsibilities may vary by case and are not exhaustive today."
652,652_document.pdf,Report,"SiMPlify - Feira de Santana, Brazil",Mobility,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/652_document.pdf,"SiMPlify is a sustainability initiative in Feira de Santana, Brazil, aiming to improve urban mobility through stakeholder engagement, citizen participation, and over 300 tailored solutions. The project, backed by WBCSD and Pirelli, plans a BRL 100 million sustainable mobility plan, enhancing public transport, cycling infrastructure, safety measures, and digital portals for reporting."
655,655_document.pdf,Report,Mobilize Finance for Social Impact,Sustainable Finance,2016,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/655_document.pdf,"Private sector must quantify social impact to mobilize mainstream finance, overcoming shortâ€‘term shareholder focus. Report reviews investor attitudes, case studies of Statoil, Total, ABB, LafargeHolcim, and recommends clear, quantitative business case communication. It argues mainstream mechanisms, not new bonds, can scale impact, urging stakeholderâ€‘value mindset shift for sustainable development globally."
656,656_document.pdf,Report,Quantification Matters: How to Mobilize Finance for Social Impact,Sustainable Finance,2016,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/656_document.pdf,"Private sector must quantify social impact to mobilize mainstream finance, turning SDG challenges into business opportunities. Report highlights investor and corporate barriers, short-termism, and communication gaps. It recommends quantifying impact, aligning stakeholder value, and demonstrating risk mitigation to attract capital, using case studies of Statoil, Total, ABB, and LafargeHolcim effectively"
657,657_document.pdf,White Paper,Finance and built environment primer: Accelerating the decarbonization of the built environment through finance sector engagement,Sustainable Finance,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/657_document.pdf,"Finance sector drives built environment decarbonisation, outlining market levers, wholeâ€‘life carbon, carbon pricing, supplyâ€‘demand dynamics, and action agenda. It details roles, challenges, data gaps, valuation, skills, culture, and collaboration across investors, managers, lenders, insurers, advisors, and regulators, urging integrated standards, evidence, and ESG priorities to achieve netâ€‘zero by 2050 today."
658,658_document.pdf,Guide,Financial Sector Science-Based Targets Guidance Version 1.2,Sustainable Finance,2024,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/658_document.pdf,"Financial institutions face climate risks and opportunities, prompting the Science Based Targets initiative to provide guidance for setting scienceâ€‘based targets. The document outlines cases, targetâ€‘setting methods, validation criteria, communication templates, and action recommendations, emphasizing portfolio coverage, sectoral decarbonization, and temperature rating approaches to align finance flows with Paris Agreement goals."
659,659_document.pdf,Report,FINANCING SUSTAINABLE RICE FOR A SECURE FUTURE   INNOVATIVE FINANCE PARTNERSHIPS FOR CLIMATE MITIGATION AND ADAPTATION,Sustainable Finance,2019,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/659_document.pdf,"Earth Security Group proposes financing sustainable rice to address climate risks, water scarcity, and methane emissions. The report outlines seven key facts, regional hotspots, and business case, then presents three blueprints: digital finance platform, rice bond, and blended climate finance. It calls for collaboration to scale climateâ€‘smart rice value chains."
660,660_document.pdf,Report,Financing for Regenerative Agriculture,Sustainable Finance,2024,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/660_document.pdf,"Regenerative agriculture financing report outlines market gaps, barriers, and innovative instruments, targeting financiers to mobilize capital for climateâ€‘resilient food systems. It defines regenerative principles, assesses bankability gaps, presents market maturity frameworks, showcases early financing models, and offers guidance on risk, returns, and policy alignment to accelerate global transition and efforts."
661,661_document.pdf,Guide,Finding capital for sustainable livelihoods businesses,Sustainable Finance,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/661_document.pdf,"This guide explains how business managers can secure capital for sustainable livelihoods ventures, outlining financing strategies, partner capital, and patient capital concepts. It highlights WBCSDâ€™s project structure, key workstreams, and company examples, offering practical insights into sourcing external funds, creating frameworks, and leveraging partnerships to benefit poor communities and businesses alike."
662,662_document.pdf,Case study,"Business Leadership for the Future of Work Case studies of companies improving the future of work for people, business and society.",Labour,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/662_document.pdf,"Business Leadership for the Future of Work showcases WBCSD member case studies illustrating responsible technology and transformative strategies that promote fair, inclusive work, humanâ€‘robot collaboration, AI ethics, living wages, social mobility, disability empowerment, and sustainable business models, inspiring companies to build transparent,"
663,663_document.pdf,Case study,"Business Leadership for the Future of Work: Case studies from companies improving the future of work for people, business and society.",Labour,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/663_document.pdf,"Business Leadership for the Future of Work showcases case studies from WBCSD companies, illustrating responsible and transformative actions that prioritize people-centered work, technology ethics, inclusion, empowerment, purpose. It calls on businesses, governments, and society to collaborate, build fair, secure workplaces, and shape labor markets and social security mechanisms sustainable futures."
664,664_document.pdf,Case study,Developing talent and inspiring behavior,Labour,2018,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/664_document.pdf,"Navigator Company launched a digital Learning Center in 2018, offering flexible, bilingual training across four modalities. Over 560 actions reached 14,305 attendances, 202,962 hours, and 3,070 employees, bridging skill gaps and fostering a learning culture that supports career growth, succession planning, and organizational sustainability for employees across all levels globally."
665,665_document.pdf,Summary,"Towards a Sustainable Paper Cycle - Progress report Executive summary, May 2004",Forestry,2004,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/665_document.pdf,"The report reviews progress since the 1996 Toward a Sustainable Paper Cycle study, assessing industry actions"
666,666_document.pdf,Brochure,Fonterra: Doing Good Together through community investment and impact,Communities,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/666_document.pdf,"Fonterraï¿½s Doing Good Together strategy focuses on community wellbeing, nutrition, and environmental protection through targeted partnerships and programmes. By aligning impact with core strengths, it delivers food security initiatives, supports rural communities, and promotes sustainability, demonstrating long-term value through collaboration, stakeholder engagement, and measurable social and environmental outcomes across New Zealand. "
667,667_document.pdf,Report,"Food Affordability: How can the food industry provide affordable, nutritious foods to support healthy and sustainable diets?",Food & Agriculture,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/667_document.pdf,"Global food affordability remains a barrier to healthy diets, with 3.1 billion people unable to afford nutritious foods. The paper analyzes cost drivers, climate resilience, and supplyâ€‘chain efficiencies, presenting case studies from Bayer, DSM, NestlÃ©, and Unilever. It recommends diversification, innovation, partnership, and livelihood investment to reduce prices and improve access."
668,668_document.pdf,Case study,Food Systems Modeling: Mexico Case Study,Food & Agriculture,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/668_document.pdf,"The report presents a foodâ€‘systems modeling framework applied to Mexico, mapping production, processing, distribution, and consumption interactions. It identifies eight hotspotsâ€”land use, consumer diets, and cost barriersâ€”using FAO data and stakeholder workshops. The approach highlights policy, private sector, and education interventions to improve nutrition, sustainability, and equity for all stakeholders"
669,669_document.pdf,Summary,Science to policy dialogue for a food and agriculture policy roadmap - Summary outcome paper for discussion,Food & Agriculture,2020,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/669_document.pdf,"Scienceâ€‘toâ€‘policy dialogue convened business, science, civil society to coâ€‘construct food system policy asks. Three consumerâ€‘focused issuesâ€”healthy diets, needed food production, postâ€‘COVID tradeâ€”guided a September 2020 workshop. Recommendations emphasize coordinated regulation, publicâ€‘private partnerships, transparent labeling, clear guidelines, global standards, public procurement, education, affordability, and inclusive stakeholder engagement to drive sustainable"
670,670_document.pdf,Press Release,Food Action Alliance selects Produtores em Foco as a highlighted initiative,Food & Agriculture,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/670_document.pdf,"Food Action Alliance, through its Soft Commodities Forum, highlighted Produtores em Foco as a key initiative to promote sustainable food systems in Brazil. The project, part of a portfolio of 35 partner"
672,672_document.pdf,Roadmap,Food and Agriculture Roadmap Chapter on Transformative Agriculture,Food & Agriculture,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/672_document.pdf,"The Food and Agriculture Roadmap Chapter on Transformative Agriculture outlines urgent transformation targets for the sector, including netâ€‘zero emissions by 2050, nitrogen cycle closure, phosphorus limits, nature recovery, and reduced water stress. It details collaborative actions, businessâ€‘led solutions, and policy enablers to achieve sustainable, equitable, healthy food systems for all"
673,673_document.pdf,White Paper,Food Labeling: Principles to support the uptake of healthy and sustainable diets,Food & Agriculture,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/673_document.pdf,"This report examines how food labeling can promote healthy, sustainable diets, reviews existing nutrition and environmental impact labels, identifies gaps, and proposes globally relevant principles for effective frontâ€‘ofâ€‘pack scoring labels. It draws on UN guidelines, industry roadmaps, and evidence on consumer behavior change to guide future labeling practices and implementation."
675,675_document.pdf,Discussion Paper,Funding the EU transition to more sustainable agriculture: discussion paper,Food & Agriculture,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/675_document.pdf,"This discussion paper examines EU agriculture's transition to sustainable practices, focusing on soil health as key KPI. It quantifies first-year costs (â‚¬28â€‘35 billion) and explores funding mechanisms like CAP reform, climate funds, PPPs, and digital tools to support farmers, investors, and policy makers toward resilient, profitable, environmentally aligned food systems today"
677,677_document.pdf,Annual Report,Forest Investor Club 2023 Annual Report,Forestry,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/677_document.pdf,"Forest Investor Club launched in 2021 to mobilize capital for nature-based solutions, focusing on forests in emerging markets. The 2023 report outlines investment barriersâ€”fragmented ownership, markets, data gapsâ€”, presents a Theory of Change, and showcases seven case studies demonstrating partnership models, pipeline development, and knowledge sharing to accelerate NbS financing"
678,678_document.pdf,Guide,Sustainable Procurement of Wood and Paper-based Products: An introduction,Forestry,2014,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/678_document.pdf,"Sustainable procurement of wood and paper-based products is essential for forest conservation, climate mitigation, and social equity. This guide introduces key issues, tools, and certification systems, emphasizing legality, sustainability, unique forest values, climate impacts, environmental controls, fiber use, and stakeholder engagement to help businesses make responsible purchasing decisions for future"
679,679_document.pdf,Guide,Forest Products Sector Guide to the Natural Capital Protocol,Forestry,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/679_document.pdf,"This guide provides a framework for forest products companies to assess, measure, and value their natural capital impacts and dependencies. It outlines principles, steps, and case studies, enabling integration of natureâ€‘based services into decisionâ€‘making and aligning business outcomes with environmental and societal benefits for sustainability and profitability in the sector."
680,680_document.pdf,Guide,NATURAL CAPITAL PROTOCOL: FOREST PRODUCTS SECTOR GUIDE,Forestry,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/680_document.pdf,"The Forest Products Sector Guide explains how businesses can apply the Natural Capital Protocol to assess, measure, and value impacts and dependencies on natural capital, focusing on wood fiber production and processing. It outlines stages, principles, and sectorâ€‘specific examples, encouraging integration of natural capital into decisionâ€‘making and sustainability practices today."
681,681_document.pdf,Implementation report,Forest Sector SDG Roadmap Implementation Report,Forestry,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/681_document.pdf,"Forest sector companies report progress on the SDG Roadmap, detailing actions across eight impact areas such as working forests, bioeconomy, climate, water, circularity, communities, people, and procurement. They present key performance indicators, baseline data, and commitments to forest management, conservation, prevention, and landscapeâ€‘based mitigation, aiming to track outcomes 2030 goals."
683,683_document.pdf,Brochure,THE SUSTAINABLE LANDSCAPES PARTNERSHIP,Regenerative Landscapes,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/683_document.pdf,"Western Mato Grossoâ€™s six municipalities cover 5 million hectares, 1.5 million forested, 304,000 legally convertible to agriculture, and 200,000 needing restoration. CGF and SCF partner to promote deforestationâ€‘free supply chains, invest in farmer incentives, restoration, and monitoring, aiming 2030 forestâ€‘positive targets while engaging finance, government, and local stakeholders for resilient, climateâ€‘positive landscapes."
687,687_document.pdf,Guide,Forest Products Sector Guide to the Social Capital Protocol Measuring social impact along the forest products value chain,Social,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/687_document.pdf,"The guide explains the Social Capital Protocol for forest products companies, outlining a fourâ€‘stage process to measure and value social impacts and dependencies across the value chain. It offers sectorâ€‘specific definitions, case studies, and practical steps, encouraging integration of social capital assessment into business decisions and mainstreaming responsible practices today."
688,688_document.pdf,Report,"Facts and Trends: Forests, Forest Products, Carbon and Energy",Forestry,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/688_document.pdf,"Facts and trends show forests store carbon, wood products reduce emissions, and industry growth offsets half of its own emissions. Global forest carbon stocks rise ~1 Gt C/yr, while planted forests expand and primary forests protect biodiversity. The WBCSD group promotes sustainable management, policy options, and lowâ€‘carbon forest solutions for future development."
690,690_document.pdf,Framework Document,Framework for Portfolio Sustainability Assessment (PSA),Corporate Strategy,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/690_document.pdf,"Portfolio Sustainability Assessment framework guides companies to evaluate product portfolios for environmental, social, market, regulatory factors, offering five-step methodology: define objectives, scope, segments, detect signals, categorize, report. It emphasizes high-quality criteria, consistency, credibility, and iterative updates, enabling better decisions, growth, stakeholder trust, risk reduction, and alignment with global sustainability goals."
691,691_document.pdf,Guide,A Framework for Dialogue on National Market Participation and Competitiveness,Governance,2012,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/691_document.pdf,"Framework for dialogue between companies and governments on local firm competitiveness, presented by WBCSD National Market Participation Initiative, outlines shared objectives, drivers, actions, and metrics. It argues mandatory local content rules can be counterproductive, advocating collaborative improvement of local firmsâ€™ cost, quality, and reliability to benefit investors, governments, and economies."
692,692_document.pdf,Case study,FrieslandCampina â€“ Biodiversity Monitor and Foqus planet,Biodiversity,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/692_document.pdf,"FrieslandCampina launched the Biodiversity Monitor to measure dairy farmingâ€™s impact on Dutch ecosystems, integrating indicators across soil, climate, water, air, land use, and species diversity. The tool raises farmer awareness, rewards regenerative practices via Foqus planet, and supports a certified sustainable milk stream, aiming to align profitability with biodiversity restoration."
693,693_document.pdf,Brochure,March 2018 Water Stewardship,Water,2018,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/693_document.pdf,"The booklet presents 50 corporate best practices for water stewardship, detailing how EpE"
694,694_document.pdf,Report,Sustainability and Circularity in the Textile Value Chain - A Global Roadmap,Circular Economy,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/694_document.pdf,"Textile sector drives global trade but fuels climate change, water use, microplastics, and social exploitation. UNEP report outlines a global roadmap for sustainability and circularity, identifying three prioritiesâ€”shifting consumption, improving practices, and investing infrastructureâ€”supported by nine building blocks. Stakeholders must collaborate to achieve netâ€‘zero emissions, renewable materials, and equitable labor."
695,695_document.pdf,Guide,"Future-Proof Business: Running companies well, well into the future",Sustainable Production,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/695_document.pdf,Future-Proof Business
696,696_document.pdf,Technical document,Future from Fibre: From Forest to Finished Product,Forestry,2012,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/696_document.pdf,"Future from Fibre From Forest to Finished Product examines forest biomass, biodiversity, production projections, trade flows, and biomaterials, outlining potential forest cover, global pulp and paper demand, and advanced bioâ€‘based products. The report, commissioned by WBCSD and WWF, integrates WWFâ€™s Living Forests campaign with PÃ¶yryâ€™s analysis, projecting forest solutions 2050."
697,697_document.pdf,Letter,Call for G20 Leadership on fair and just recovery ahead of 21-22 November Summit,Sustainable Finance,2021,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/697_document.pdf,"Business and labor organizations urge G20 leaders to drive a fair, sustainable recovery from the pandemic by addressing inequality, climate change, and nature loss. They call for coordinated action, smart stimulus spending, social protection, climate leadership, and investment in sustainable development, emphasizing multilateral cooperation and private sector engagement to build resilient, inclusive global economies. "
698,698_document.pdf,Guide,User Guide Agri-SME Digital Finance Platform,Sustainable Finance,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/698_document.pdf,"Agriâ€‘SME Digital Finance Platform guides agribusinesses through creating enterprise profiles, user accounts, teams, and deals, enabling investors, service providers, and support organizations to connect, share information, and manage networks. It offers stepâ€‘byâ€‘step instructions, glossary terms, and a SaaS architecture for transparent deal pipelines, due diligence logs, and live news updates."
699,699_document.pdf,Toolkit,Advancing human rights policy and practice in the agribusiness sector: An implementation toolkit,Human Rights,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/699_document.pdf,"Advancing human rights in agribusiness presents a toolkit for CEOs and companies to align policy, assess risks, prioritize saliency, and implement due diligence, drawing on UN Guiding Principles, benchmarking, transparency, and stakeholder engagement, while addressing forced labor, child labor, migrant worker vulnerabilities, land rights, and social, economic, and environmental global impacts."
700,700_document.pdf,Summary,Summary progress report Q3â€“2019 How are we making a difference?,Food & Agriculture,2019,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/700_document.pdf,"Global Agribusiness Alliance reports Q3â€‘2019 progress, highlighting sustainable landscapes, rural livelihoods, water stewardship, and food loss reduction. It outlines partnerships with IUCN, World Resources Institute, and Alliance for Water Stewardship, showcases case studies, toolkits, and digital platforms, and emphasizes continuous improvement, stakeholder engagement, and alignment with UN Sustainable Development Goals."
701,701_document.pdf,Brief,Action Brief 1.1: A shared role in poverty alleviation and land stewardship,Livelihoods,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/701_document.pdf,"Global Agriâ€‘Business Alliance explores miningâ€‘agri collaboration to alleviate poverty and steward land, proposing shared interests, scaling best practices, and aligning SDG 17. The brief outlines drivers, barriers, case studies in Kenya, Papua New Guinea, and potential"
702,702_document.pdf,Brief,Evolving rural livelihoods and the role of agri-business,Food & Agriculture,2023,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/702_document.pdf,"This brief examines how urbanisation and rural transformation reshape livelihoods, highlighting agriâ€‘business responsibilities in succession planning, inclusive markets, and SDG achievement. It discusses smallâ€‘town linkages, smallholder diversity, education impacts, gender dynamics, and labour constraints, urging agriâ€‘business to decentralise decisionâ€‘making, engage informal actors, and support contextâ€‘specific, bottomâ€‘up development strategies and outcomes."
703,703_document.pdf,Brief,Building productive and sustainable landscapes and livelihoods: The role of landscape-approaches in the agri-business sector,Food & Agriculture,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/703_document.pdf,"The Global Agriâ€‘Business Alliance, a CEOâ€‘led coalition of 18 supplyâ€‘side companies, promotes sustainable landscapes and livelihoods by scaling best practices, influencing policy, and delivering SDG 2 and No Poverty outcomes. It emphasizes landscape approaches, netâ€‘positive impacts, mitigation hierarchy, and zeroâ€‘deforestation commitments to transform agriâ€‘business operations for environmental resilience and sustainability."
704,704_document.pdf,Brief,Action Brief 3.1 Action Learning Projects,Water,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/704_document.pdf,"The Action Brief 3.1 outlines Action Learning Projects for GAA members, guiding them through the Alliance for Water Stewardship Standard. It explains water stewardship principles, risk categories, catchment understanding, stakeholder mapping, and AWS stepsâ€”commit, gather, plan, implement, evaluate, communicateâ€”while highlighting benefits such as risk mitigation, collaboration, and sustainable water management."
706,706_document.pdf,Report,Agri-business partnerships for sustainable landscapes,Food & Agriculture,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/706_document.pdf,
707,707_document.pdf,Report,Evolution of Livelihoods in Rural Areas and the Role of Agribusiness Companies,Food & Agriculture,,https://pub-5cb38f7d5ab14b108ad053801e0b3a1e.r2.dev/707_document.pdf,"The dossier examines rural livelihood evolution amid urbanization, highlighting agroâ€‘food firmsâ€™ potential to support sustainable development, especially poverty eradication and food security. It analyzes smallholder dynamics, gendered labor shifts, education impacts, and urbanâ€‘rural linkages, advocating inclusive governance, localâ€‘rooted initiatives, and shared decisionâ€‘making to enhance rural resilience and equitable market access."
